name,avg_high_price,avg_spread_pct,win_rate,avg_roi,sharpe_ratio,final_score
Adamant seeds,128.80716253443526,8.067626736666302,92.62295081967213,7.211581233324971,1.1813962958452462,0.47440957965420105
Raw salmon,71.85792349726776,7.760386790133585,94.80874316939891,6.6674709380410615,1.2026104399615494,0.4737038405423981
Rune thrownaxe,224.68406593406593,7.822898373981396,94.80874316939891,6.7669613051498345,1.2399804585884162,0.4702292768926748
Binding necklace,787.654794520548,5.448579954540677,97.26775956284153,4.404494045152814,1.8441263096442324,0.46406757224898526
Rune boots,7581.095890410959,6.187647135222118,97.81420765027322,5.11244548680191,1.5639206275475204,0.4639371641861122
Kwuarm seed,1271.5737704918033,8.694717961174113,89.61748633879782,7.967772984144484,1.066465935167866,0.46393144040164236
Red d'hide chaps,3013.811475409836,9.6230962259932,88.52459016393442,8.393374388046656,0.8929091206940878,0.46337961617095047
Black d'hide chaps,4991.866120218579,8.112731696810032,93.98907103825137,6.908591472572572,0.9501812187049501,0.45671414605523153
Soaked page,2208.002747252747,4.581843645920856,97.54098360655738,3.571284200491683,1.911331889513972,0.45395263086501597
Leather,258.6120218579235,4.192948273394754,97.54098360655738,3.150440946496419,1.9638132360590217,0.4538985336604409
Divine super combat potion(2),10752.904225352113,6.337711239406212,94.53551912568307,5.20858920616375,1.4871864166376134,0.4527703392941783
Raw trout,82.10109289617486,5.546188970846496,97.81420765027322,4.586066019817855,1.1821501863837571,0.4416292869804087
Rune knife,149.21428571428572,5.254651681433483,90.43715846994536,4.496055210108588,1.3265417661270436,0.4401956183982156
Mort'ton teleport,19553.13387978142,4.522293142474732,98.08743169398907,3.249685574323257,1.6948963614923978,0.4399523509138254
Digsite teleport,12178.341530054644,5.283181894196993,99.18032786885246,3.8421995337641013,1.2909441283615462,0.43604249095939884
Rune crossbow,10379.117486338799,5.504528041864576,96.99453551912568,4.298388104686152,1.2733913822428298,0.4348347540308237
Blighted vengeance sack,89.07162534435261,6.041098383479342,90.98360655737704,5.3296818164080655,1.0430665453819268,0.4346751941466506
Amethyst broad bolts,272.844262295082,5.599264006091002,94.80874316939891,4.35926443786384,1.0985116173833802,0.4297411636929894
Pineapple pizza,639.1758241758242,4.510481343247329,93.71584699453553,3.5216949314939345,1.587176295880899,0.42765298911282495
Grimy guam leaf,498.34615384615387,7.313720733621418,88.52459016393442,5.983158656652677,0.8846116736191466,0.4266389079668649
Dragon dart(p++),2212.9944751381217,5.360812480153056,93.71584699453553,4.394994430174437,1.157905350431505,0.42083374258982387
Mithril seeds,952.5179063360881,5.346647524237374,92.34972677595628,4.455383969459496,1.1871326541290321,0.4192970134709716
Ironwood logs,6051.477876106194,7.64200399935145,88.79056047197639,3.9068709736877345,0.8154741349346375,0.4132960635486537
